art,t,bpm,s
Mike Greene,Bill Nye the Science Guy Theme Song (Chinese Intro),128,432314
seleP,ReLief,120,1379697
Dormir,Sayonara Trip,133,50924
Demetori,Shoujo Satori ~ Innumerable Eyes,190,288656
Marika,Knowing,140,53176
Uesaka Sumire,EASY LOVE (TV Size),188,1372562
Shawn Wasabi,Marble Soda,168,387784
nano,"Star light, Star bright (TV Size)",190,1350684
Linked Horizon,Shinzou o Sasageyo! [TV Size],160,593620
ONE OK ROCK,"Rock, Scissors, Paper",193,82282
Kola Kid,press start,200,1262809
Petit Rabbit's,Daydream cafe (TV Size),150,167836
supercell,My Dearest (TV Edit),168,370819
Silver Forest,Yami no Mahou Shoujo,200,1872124
Yuyoyuppe,-ELIS-,190,930062
SAKURAKOU K-ON BU,Happy!? Sorry!!,180,526180
Warak,REANIMATE,174,186318
ONE OK ROCK,Answer is Near,188,63112
Yousei Teikoku,Wahrheit,180,176934
kalon.,Juubaku,190,529724
DJ Fresh,Gold Dust,177,28107
GYZE,HONESTY,185,586121
Nanamori-chu * Goraku-bu,Happy Time wa Owaranai,190,320717
Kayano Ai,Oracion(TV-Size),166,172013
Rootkit,Against The Sun (feat. Anna Yvette),174,340263
Reol,Asymmetry,184,292077
fromis_9,LOVE BOMB,154,1849271
petit milady,Hakone Hakoiri Musume,220,374820
yuikonnu,Chikyuu Saigo no Kokuhaku o,190,880938
kessoku band,Seishun Complex,190,1863866
CHiCO with HoneyWorks,Koiiro ni Sake,185,431248
Kanon Wakeshima,Tsukinami,180,490956
Linked Horizon,Shoukei to Shikabane no Michi (TV Size),178,963651
Paramore,Still Into You (Sped Up & Cut Ver.),166,1060207
Disasterpeace,I Am Only a Man,160,165273
Stonebank,Stronger (feat. EMEL),170,273711
Billy Talent,Fallen Leaves,123,49114
SPYAIR,Sakura Mitsutsuki (TV Size),179,933863
Mutsuhiko Izumi,Snow Goose,200,2091512
Fujiwara Chika (CV: Kohara Konomi),Chikatto Chika Chika,178,962996
VINXIS,Sidetracked Day,188,1008679
Blue Stahli,Shotgun Senorita (Zardonic Remix),175,65853
3R2,Bunny Panic!!!,175,573894
I SEE MONSTAS,Holdin On (Skrillex and Nero Remix),174,701330
MOMOIRO CLOVER Z,SANTA SAN,190,1045600
HoneyWorks,Miraizu feat.Aida Miou(CV:Toyosaki Aki),178,306591
Groove Coverage,Runaway (Nightcore Mix),176.09,103862
ONE OK ROCK,Clock Strikes,192,249624
yuikonnu,Heart no Atoaji,186,547504
amazarashi,Sora ni Utaeba,204,813969
