art,t,bpm,s
nano.RIPE,Real World (TV ver.),196,348412
Nekomata Master feat. Mayumi Morinaga,Sleepless days,188,959574
S3RL,Bass Slut (Original Mix),175,983911
ICHIKO,First Kiss (TV Size),156,33639
ChouCho,Yasashisa no Riyuu (TV Size),177,49387
Lindsey Stirling,Senbonzakura,154,773136
Tominaga Tommy Hiroaki,JoJo ~Sono Chi no Sadame~,146,713688
LiSA,EGOiSTiC SHOOTER,202,316580
inabakumori,Mochi,148,2116409
mafumafu & amatsuki,Kasyokusei:Idol Syoukougun,200,76366
Baracuda,La Di Da (Nightcore Mix),162.5,17852
Kalafina,Magia (TV Size),125,25122
bj.HaLo,Ende,200,188401
